LID,Year,Localidad,BufferRadius,LC,PLAND,PLAND_Rescaled,LPI,TE,ED,AREA_AM,SHAPE_AM,CAI_AM,ENN_MN,ENN_AM,MESH
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1985.tif,1985,Los_Robles,500,12,6.6667,21.155329053631664,3.5225,16630.3737,14.5956,30.153,3.0414,28.7234,519.0952,646.5611,2.0102
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1985.tif,1985,Los_Robles,500,21,8.5185,27.03161542342708,5.7447,8120.4167,7.1269,49.4389,1.6411,57.3543,225.5529,255.5825,4.2115
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1985.tif,1985,Los_Robles,500,11,5.6422,17.904300116459503,4.5311,14412.9905,12.6495,42.0852,2.5976,44.5531,415.5096,1604.8176,2.3745
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1985.tif,1985,Los_Robles,500,6,10.2916,32.65816438243143,6.4539,8899.4973,7.8106,59.0546,1.945,58.2695,744.1679,1445.3138,6.0776
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1985.tif,1985,Los_Robles,500,3,0.0158,0.050137879167711216,0.0079,239.7171,0.2104,0.0898,1.0,0.0,719.1513,719.1513,0.0
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1985.tif,1985,Los_Robles,500,33,0.3783,1.2004531448826046,0.3783,1138.6562,0.9993,4.3098,1.3571,18.75,,,0.0163
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1986.tif,1986,Los_Robles,500,12,6.7061,21.28035642320178,3.5225,16660.3383,14.6219,29.7508,3.047,28.7897,519.0952,629.2039,1.9951
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1986.tif,1986,Los_Robles,500,21,8.5185,27.031615423427084,5.7447,8120.4167,7.1269,49.4389,1.6411,57.3543,225.5529,255.5825,4.2115
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1986.tif,1986,Los_Robles,500,11,5.6107,17.804341686473244,4.1529,13184.4404,11.5713,35.8685,1.9153,47.191,117.2755,71.6024,2.0125
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1986.tif,1986,Los_Robles,500,6,10.2916,32.65816438243144,6.5169,8479.9923,7.4424,59.8974,1.9515,59.0352,927.4956,1465.4085,6.1644
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1986.tif,1986,Los_Robles,500,3,0.0079,0.025068939583855608,0.0079,119.8585,0.1052,0.0898,1.0,0.0,,,0.0
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1986.tif,1986,Los_Robles,500,33,0.3783,1.2004531448826046,0.3783,1138.6562,0.9993,4.3098,1.3571,18.75,,,0.0163
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1987.tif,1987,Los_Robles,500,12,6.2175,19.729952717925936,3.4358,16959.9847,14.8849,24.9329,2.6034,29.2776,80.6105,66.719,1.5502
C:\Documents\UN242\Práctica de Investigación\MapBiomasC2fragstats\Localidad_Los_Robles_500m_1987.tif,1987,Los_Robles,500,21,8.8258,28.006854314092593,5.9732,7880.6996,6.9165,51.382,1.5721,58.9286,225.5529,257.5109,4.5349
